Invoice ID;Date;City;Gender;Customer type;Product line;Payment;Unit price;Quantity;Total;Gross margin percentage;Gross income;Rating
755-99-222;2026-07-06;Yangon;Female;Member;Food and beverages;Credit card;10;1;10,5;0,0479;0,5;5,7
338-10-493;2026-06-19;Mandalay;Female;Normal;Health and beauty;Ewallet;131;4;550,2;0,0479;26,35;1,7
104-17-922;2026-12-14;Yangon;Female;Normal;Food and beverages;Credit card;109;2;228,9;0,0479;10,96;8,9
372-53-933;2026-07-31;Yangon;Female;Member;Food and beverages;Cash;22;2;46,2;0,0479;2,21;2,7
530-44-738;2026-10-14;Yangon;Female;Member;Food and beverages;Credit card;57;4;239,4;0,0479;11,47;3,9
111-78-517;2026-10-23;Mandalay;Female;Member;Food and beverages;Credit card;11;10;115,5;0,0479;5,53;2,8
575-40-167;2026-05-31;Yangon;Male;Normal;Food and beverages;Ewallet;155;6;976,5;0,0479;46,77;6,7
302-59-198;2026-08-09;Mandalay;Male;Normal;Food and beverages;Credit card;91;9;859,95;0,0479;41,19;6,9
773-15-837;2026-10-30;Mandalay;Female;Normal;Food and beverages;Credit card;93;1;97,65;0,0479;4,68;5,4
293-34-911;2026-09-02;Mandalay;Female;Member;Food and beverages;Ewallet;35;7;257,25;0,0479;12,32;1,8
776-75-567;2026-02-19;Mandalay;Male;Member;Home and lifestyle;Credit card;132;6;831,6;0,0479;39,83;1,0
816-17-636;2026-07-22;Yangon;Female;Normal;Food and beverages;Credit card;12;6;75,6;0,0479;3,62;7,8
413-46-660;2026-04-03;Mandalay;Female;Normal;Health and beauty;Ewallet;100;9;945,0;0,0479;45,27;6,1
265-59-437;2026-02-07;Yangon;Female;Normal;Food and beverages;Credit card;117;3;368,55;0,0479;17,65;9,9
630-82-332;2026-07-12;Yangon;Female;Normal;Food and beverages;Ewallet;166;2;348,6;0,0479;16,7;6,5
307-61-331;2026-05-15;Yangon;Female;Normal;Home and lifestyle;Ewallet;245;6;1543,5;0,0479;73,93;6,8
799-60-699;2026-06-22;Yangon;Male;Member;Fashion accessories;Credit card;273;1;286,65;0,0479;13,73;9,4
339-83-947;2026-07-03;Naypyitaw;Female;Member;Food and beverages;Ewallet;139;5;729,75;0,0479;34,96;6,6
238-59-854;2026-11-17;Mandalay;Male;Member;Health and beauty;Ewallet;49;9;463,05;0,0479;22,18;9,3
763-15-714;2026-03-10;Yangon;Female;Member;Fashion accessories;Credit card;315;5;1653,75;0,0479;79,21;7,6
471-16-715;2026-12-05;Yangon;Male;Normal;Food and beverages;Cash;73;7;536,55;0,0479;25,7;7,3
119-69-748;2026-01-21;Mandalay;Female;Member;Food and beverages;Ewallet;30;7;220,5;0,0479;10,56;2,7
236-18-838;2026-03-10;Yangon;Male;Normal;Food and beverages;Cash;120;10;1260,0;0,0479;60,35;7,0
130-63-377;2026-04-22;Naypyitaw;Male;Normal;Food and beverages;Ewallet;181;10;1900,5;0,0479;91,03;1,9
208-55-888;2026-07-28;Yangon;Female;Member;Food and beverages;Credit card;91;3;286,65;0,0479;13,73;7,7
537-66-516;2026-02-06;Yangon;Male;Normal;Food and beverages;Credit card;59;1;61,95;0,0479;2,97;3,6
578-60-223;2026-04-15;Yangon;Female;Member;Food and beverages;Ewallet;186;6;1171,8;0,0479;56,13;6,8
130-71-353;2026-01-14;Yangon;Female;Member;Home and lifestyle;Ewallet;92;8;772,8;0,0479;37,02;3,0
412-71-186;2026-05-25;Mandalay;Male;Normal;Fashion accessories;Cash;156;3;491,4;0,0479;23,54;1,1
165-18-900;2026-07-04;Mandalay;Female;Member;Home and lifestyle;Credit card;401;7;2947,35;0,0479;141,18;1,4
398-44-316;2026-08-07;Mandalay;Male;Member;Food and beverages;Credit card;99;7;727,65;0,0479;34,85;5,7
793-95-204;2026-03-29;Naypyitaw;Male;Normal;Food and beverages;Credit card;81;9;765,45;0,0479;36,67;4,4
531-10-178;2026-04-07;Yangon;Male;Normal;Electronic accessories;Credit card;750;7;5512,5;0,0479;264,05;2,5
874-12-504;2026-02-25;Yangon;Male;Normal;Food and beverages;Ewallet;32;9;302,4;0,0479;14,48;4,9
660-19-234;2026-02-13;Naypyitaw;Female;Member;Food and beverages;Credit card;18;7;132,3;0,0479;6,34;1,3
718-88-549;2026-12-29;Yangon;Female;Member;Home and lifestyle;Cash;378;6;2381,4;0,0479;114,07;6,6
307-88-380;2026-08-13;Mandalay;Female;Member;Food and beverages;Credit card;76;2;159,6;0,0479;7,64;3,2
884-17-324;2026-09-20;Yangon;Male;Normal;Health and beauty;Ewallet;197;6;1241,1;0,0479;59,45;3,0
398-73-219;2026-11-12;Naypyitaw;Male;Normal;Food and beverages;Credit card;160;3;504,0;0,0479;24,14;8,8
718-19-420;2026-10-26;Naypyitaw;Male;Normal;Food and beverages;Cash;116;7;852,6;0,0479;40,84;4,4
610-30-253;2026-11-29;Mandalay;Male;Normal;Food and beverages;Cash;153;8;1285,2;0,0479;61,56;9,8
719-21-968;2026-05-16;Yangon;Male;Normal;Home and lifestyle;Credit card;28;4;117,6;0,0479;5,63;7,6
146-42-245;2026-06-29;Yangon;Female;Normal;Sports and travel;Credit card;133;9;1256,85;0,0479;60,2;5,1
747-84-274;2026-11-03;Naypyitaw;Female;Member;Health and beauty;Ewallet;254;10;2667,0;0,0479;127,75;5,4
